DAY,PROMOSALES (in Millions),NONPROMOSALES (in Millions)
1,0.31,0.9
2,23.62,31.56
3,21.87,32.53
4,18.6,30.03
5,10.14,33.29
6,9.26,32.54
7,9.82,28.59
8,8.95,21.93
9,14.9,36.82
10,15.92,34.06
11,13.43,29.97
12,10.33,29.31
13,8.11,28.58
14,8.68,27.8
15,6.83,20.75
16,12.52,34.61
17,14.14,35.33
18,11.1,32.71
19,10.43,29.4
20,10.39,28.49
21,26.65,25.17
22,19.58,18.27
23,33.14,30.42
24,30.73,31.26
25,24.2,27.93
26,7.6,28.84
27,6.35,28.55
28,6.51,29.12
29,5.97,21.24
30,11.54,38.15
31,10.7,36.16
32,7.85,32.78
33,6.81,30
34,7.05,29.48
35,6.69,28.28
36,5.48,21.64
37,11.34,37.58
38,10.13,35.72
39,6.85,32.78
40,5.83,31.1
41,5.33,29.62
42,5.19,29.09
43,4.3,22.28
44,8.98,40.22
45,8.19,38.04
46,6.37,33.27
47,6.48,32.84
48,5.58,31.29
49,5.77,30.58
50,4.38,21.23
51,12.86,41.06
52,12.82,40.34
53,10.07,36.32
54,9.49,29.82
55,9.03,28.39
56,19.04,25.67
57,13.67,18.04
58,22.95,31.47
59,21.96,32.49
60,17.4,29.16
61,5.98,28.6
62,6.21,29.04
63,7.71,27.02
64,8.15,20.71
65,15.85,34.74
66,17.51,33.35
67,13.35,31.03
68,7.46,29.67
69,6.24,28.44
70,7.2,29.13
71,5.16,20.56
72,11.16,38.57
73,11.96,36.18
74,11.1,33.15
75,10.07,33.03
76,8.36,32.5
77,10.59,26.69
78,8.73,19.93
79,17.29,34.36
80,17.37,36.85
81,10.61,34.71
82,9.07,31.96
83,7.08,31.25
84,6.35,29.7
85,4.77,20.51
86,8.67,35.27
87,9.35,36.66
88,6.81,33.92
89,5.86,31.94
90,5.57,29.99
91,5.82,30.31
92,4.49,20.86
93,9.89,38.29
94,11.62,37.65
95,8.85,34.08
96,6.88,34.94
97,6.28,36.88
98,6.2,26.89
99,4.77,19.15
100,10.34,34.43
101,9.56,31.52
102,7.42,30.54
103,7.08,29
104,7.03,29.02
105,15.29,26.88
106,10.9,19.08
107,19.49,32.63
108,20.09,33.88
109,15.92,29.27
110,7.74,28.09
111,6.32,28.18
112,6.01,27.97
113,4.71,20.36
114,9.43,34.26
115,10.8,34.33
116,9.45,31.81
117,9.57,29.06
118,9.17,29.38
119,6.78,28.08
120,4.79,20.86
121,9.84,36.26
122,11.59,35.63
123,9.47,32.61
124,7.61,30.29
125,6.79,29.78
126,6.22,28.6
127,4.96,21.54
128,9.81,38.32
129,10.15,33.99
130,7.44,32.8
131,6.58,30.26
132,6.28,30.55
133,6.1,30.3
134,4.95,22.54
135,9.14,38.49
136,10.76,37.61
137,8.12,34.9
138,6.8,31.92
139,7.3,32.19
140,8.12,31.25
141,6.87,23.14
142,29.01,31.08
143,26.39,30.68
144,11.16,33.04
145,10.73,31.05
146,10.29,30.69
147,9.29,29.74
148,6.22,20.25
149,15.06,41.08
150,13.79,39.18
151,10.95,35.64
152,9.66,33.08
153,9.36,32.73
154,8.62,27.76
155,9.21,20.65
156,21.79,36.35
157,18.26,34.78
158,13.89,31.17
159,12.19,29.41
160,6.93,28.59
161,6.47,27.93
162,7.6,20.01
163,14.04,36.28
164,13.96,33.68
165,10.41,30.69
166,6.63,31.03
167,6.19,29.5
168,6.06,28.26
169,7.97,22.65
170,18.49,35.18
171,21.01,32.94
172,19.2,28.38
173,17.31,25.96
174,7.19,30.32
175,18.51,22.5
176,14.18,18.63
177,25.33,34.17
178,24.67,33.64
179,20.27,30.78
180,6.66,30.23
181,5.44,29.15
182,5.56,28.55
183,5.25,21.8
184,11.84,39.89
185,11.92,36.86
186,9.46,31.24
187,7.78,30.39
188,7.18,29.7
189,5.38,29.57
190,4.09,22.12
191,8.2,47.96
192,8,37.69
193,6.26,34.65
194,6.11,31.68
195,5.91,28.57
196,5.75,25.45
197,5.09,18.27
198,12.59,48.54
199,11.85,36.06
200,9.17,33.5
201,6.97,29.23
202,5.45,28.15
203,5.35,27.94
204,5.25,21.5
205,9.48,48.74
206,11.69,35.85
207,9.26,30.92
208,10.2,27.9
209,6,26.14
210,5.36,26.88
211,4.5,19.92
212,9.67,46.78
213,10.4,35.03
214,8.09,31.13
215,6.71,28.76
216,5.96,28.07
217,4.92,27.91
218,3.6,19.97
219,7.36,44.67
220,8.27,34.92
221,6.2,31.17
222,6.34,29.13
223,6.32,29.41
224,5.4,21.96
225,1.07,4.94
226,9.82,46.8
227,9.77,33.3
228,10.64,38.94
229,6.65,33.47
